job_id,path_id,degrees,minYears,experienceType,graduation,graduationYears,evidence
cerebras-ashby-9c7da4b8-446b-4bf2-8d07-23241590bf2e,cerebras-ashby-9c7da4b8-446b-4bf2-8d07-23241590bf2e-1,"[""Bachelor"",""Master"",""PhD""]",0,not stated,Not stated,[],"Title says Kernel Engineer - New Grad; JD accepts BS/MS/PhD and coursework, research, or projects."
character-ashby-a7ddb640-466f-4a1f-9a94-7465006aad05,character-ashby-a7ddb640-466f-4a1f-9a94-7465006aad05-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
character.ai-ashby-449bf7c1-41d7-47a4-89a7-0ee0b31f5918,character.ai-ashby-449bf7c1-41d7-47a4-89a7-0ee0b31f5918-1,"[""PhD""]",,research,Not stated,[],Posting labels the role All Industry Levels and requires PhD/equivalent; no numeric industry minimum is stated.
chime-greenhouse-8578967002,chime-greenhouse-8578967002-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
cognition-ashby-439404bb-3185-4d22-b6df-4a5e39a510d6,cognition-ashby-439404bb-3185-4d22-b6df-4a5e39a510d6-1,"[""Bachelor"",""Master""]",,not stated,Not stated,[],Full-time Product Engineer posting has no numeric minimum in the captured text; industry experience is described as a strong plus.
cognition-ashby-57e1e2a1-e0a0-4448-a278-8eed035d7428,cognition-ashby-57e1e2a1-e0a0-4448-a278-8eed035d7428-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
cognition-ashby-b6f96827-ce14-44f4-98fa-b1b8640858b6,cognition-ashby-b6f96827-ce14-44f4-98fa-b1b8640858b6-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
cursor-ashby-cd4bad0a-e2f6-4a8d-9b57-ce1780efedae,cursor-ashby-cd4bad0a-e2f6-4a8d-9b57-ce1780efedae-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
cursor-ashby-0aa0650b-f93c-416e-9e2f-4fdf1556fd14,cursor-ashby-0aa0650b-f93c-416e-9e2f-4fdf1556fd14-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
cursor-ashby-d0e5b41d-84ab-4887-bd3a-55589b11dd7b,cursor-ashby-d0e5b41d-84ab-4887-bd3a-55589b11dd7b-1,[],,not stated,Spring 2027,[2027],"Live posting says Spring 2027 graduation in a technical field and requires a reviewable shipped project; it does not name a Bachelor or Master requirement, so degrees stays empty."
databricks-greenhouse-8546367002,databricks-greenhouse-8546367002-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
datadog-greenhouse-6572669,datadog-greenhouse-6572669-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
decagon-ashby-a8ff946f-d6b1-4059-bc9f-fe6b11504f2f,decagon-ashby-a8ff946f-d6b1-4059-bc9f-fe6b11504f2f-1,"[""Bachelor"",""Master"",""PhD""]",0,not stated,December 2026-July 2027,"[2026,2027]",Live posting explicitly requires pursuing/completing a BS or higher and graduation between December 2026 and July 2027; title start cohort is not the sole graduation evidence.
decagon-ashby-9231a1ba-d9f5-4ddd-b398-158297ea7db9,decagon-ashby-9231a1ba-d9f5-4ddd-b398-158297ea7db9-1,[],,not stated,Not stated,[],The source contains a 2-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.
decagon-ashby-69fd28a8-0de2-45a5-9b98-33725515add4,decagon-ashby-69fd28a8-0de2-45a5-9b98-33725515add4-1,[],,not stated,Not stated,[],The source contains a 2-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.
decagon-ashby-f84db19b-8de3-49d6-a954-c9ee2e365956,decagon-ashby-f84db19b-8de3-49d6-a954-c9ee2e365956-1,[],,not stated,Not stated,[],The source contains a 2-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.
distyl-ashby-9af1e81f-34be-47ac-80b9-051d80c040ce,distyl-ashby-9af1e81f-34be-47ac-80b9-051d80c040ce-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
distyl-ashby-1a44c296-a732-4374-9f8c-a613b17ae37b,distyl-ashby-1a44c296-a732-4374-9f8c-a613b17ae37b-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
distyl-ashby-4d08070a-2a80-4eaa-b702-04d80dc2ac59,distyl-ashby-4d08070a-2a80-4eaa-b702-04d80dc2ac59-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
distyl-ashby-f94707a5-3563-49f4-8414-ec3bb8918d03,distyl-ashby-f94707a5-3563-49f4-8414-ec3bb8918d03-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
distyl-ashby-96951117-efef-4f27-bbc4-671559d4af30,distyl-ashby-96951117-efef-4f27-bbc4-671559d4af30-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
doordashusa-greenhouse-7580407,doordashusa-greenhouse-7580407-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
embedding-vc-ashby-5c8433ea-c7e6-4350-bbd5-2889e7fdb2b1,embedding-vc-ashby-5c8433ea-c7e6-4350-bbd5-2889e7fdb2b1-1,"[""Bachelor"",""Master""]",,not stated,Not stated,[],Title says AI Engineer (Early Career); JD asks for limited professional experience and project/open-source evidence.
epsilon-health-ashby-d82e7114-7fab-4329-938a-52cd7bfff538,epsilon-health-ashby-d82e7114-7fab-4329-938a-52cd7bfff538-1,[],,not stated,Not stated,[],The source contains a 2-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.
figma-greenhouse-5976930004,figma-greenhouse-5976930004-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
fireworks-ai-ashby-0c78aede-7c21-4d1e-88f1-f309deb9819e,fireworks-ai-ashby-0c78aede-7c21-4d1e-88f1-f309deb9819e-1,"[""Bachelor"",""Master""]",0,not stated,2026 or Summer 2027,"[2026,2027]","Live posting says BS/MS completed within six months or by end of 2026, or expected by Summer 2027; December 2026 is preferred. Do not encode only 2027."
fireworks-ai-ashby-82b41f4a-a945-4aee-a1fd-1ef9ab513e58,fireworks-ai-ashby-82b41f4a-a945-4aee-a1fd-1ef9ab513e58-1,"[""PhD""]",0,research,2026,[2026],Live posting requires or welcomes a PhD completed within six months or by December 2026; locations are San Mateo and New York. Framework items include preferred alternatives.
fireworks-ai-ashby-ad58a098-ef75-4a4b-8475-55c2653213ef,fireworks-ai-ashby-ad58a098-ef75-4a4b-8475-55c2653213ef-1,"[""PhD""]",0,research,2026,[2026],Live posting states PhD completion by December 2026 or within six months; listed locations are San Mateo and New York. Skills were taken from qualification and preferred lists; OR language is kept as mentioned.
genmo-ashby-9b5477f4-97af-4aaa-b855-910c982ce191,genmo-ashby-9b5477f4-97af-4aaa-b855-910c982ce191-1,"[""Bachelor"",""Master""]",2,not stated,Not stated,[],"Live posting requires BS/MS and 2+ years ML experience while calling recent graduates welcome; experience type is not specified, so status should be unclear rather than pure new-grad/early-career research."
genmo-ashby-0f8462cc-c351-41b0-a794-3558c63646e2,genmo-ashby-0f8462cc-c351-41b0-a794-3558c63646e2-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
genmo-ashby-f09286ef-c08d-49c4-8635-c1d952440865,genmo-ashby-f09286ef-c08d-49c4-8635-c1d952440865-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
glean-greenhouse-4711484005,glean-greenhouse-4711484005-1,"[""Bachelor""]",2,industry,Not stated,[],JD requires 2+ years and production systems experience; no new-grad claim.
glean-greenhouse-4006735005,glean-greenhouse-4006735005-1,"[""Bachelor""]",2,industry,Not stated,[],JD requires 2+ years plus a BA/BS; retained as a clearly bounded early-career adjacent role.
gleanwork-greenhouse-4501783005,gleanwork-greenhouse-4501783005-1,[],,not stated,Not stated,[],The source contains a 2-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.
GOOGLE-123087196289671878,GOOGLE-123087196289671878-1,"[""PhD""]",,research,"PhD graduate pathway; full-time start in 2027 stated as preferred availability, graduation year not stated",[],"Official title says PhD, Early Career, 2027 Start; minimum qualification requires a PhD in CS, AI, ML, or related field."
harvey-ashby-d78083d9-a203-4ae4-b4b9-454d65df3702,harvey-ashby-d78083d9-a203-4ae4-b4b9-454d65df3702-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
id.me-greenhouse-7986505003,id.me-greenhouse-7986505003-1,"[""Master""]",0,not stated,May/June 2027,[2027],"Master's in Data Science, Applied Mathematics, Statistics, CS, or related; coursework, research projects, or internships count as data experience."
koah-labs-ashby-197c931d-3cda-44b3-b26b-470976730808,koah-labs-ashby-197c931d-3cda-44b3-b26b-470976730808-1,[],,not stated,Not stated,[],Live posting lists San Francisco and an early-career title but no degree or graduation requirement; technical stack items are explicitly listed in the source.
liquid-ai-ashby-679d26b2-2603-424d-acb8-99f45e8b5ddd,liquid-ai-ashby-679d26b2-2603-424d-acb8-99f45e8b5ddd-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
liquid-ai-ashby-c7251e1b-d7bf-4d03-8b9e-1382743bef2c,liquid-ai-ashby-c7251e1b-d7bf-4d03-8b9e-1382743bef2c-1,"[""Master""]",3,not stated,Not stated,[],"Live posting gives separate MS 3+, PhD 1+, and BS 5+ relevant-experience thresholds; the source does not classify relevant experience as research or industry. API location includes San Francisco, Remote, and Boston/Cambridge; preserve Remote separately."
liquid-ai-ashby-c7251e1b-d7bf-4d03-8b9e-1382743bef2c,liquid-ai-ashby-c7251e1b-d7bf-4d03-8b9e-1382743bef2c-2,"[""PhD""]",1,not stated,Not stated,[],"Live posting gives separate MS 3+, PhD 1+, and BS 5+ relevant-experience thresholds; the source does not classify relevant experience as research or industry. API location includes San Francisco, Remote, and Boston/Cambridge; preserve Remote separately."
liquid-ai-ashby-c7251e1b-d7bf-4d03-8b9e-1382743bef2c,liquid-ai-ashby-c7251e1b-d7bf-4d03-8b9e-1382743bef2c-3,"[""Bachelor""]",5,not stated,Not stated,[],"Live posting gives separate MS 3+, PhD 1+, and BS 5+ relevant-experience thresholds; the source does not classify relevant experience as research or industry. API location includes San Francisco, Remote, and Boston/Cambridge; preserve Remote separately."
lumaai-ashby-ed5b169b-7aef-4f84-993b-42a5aabd1bd4,lumaai-ashby-ed5b169b-7aef-4f84-993b-42a5aabd1bd4-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
lumaai-ashby-278788c5-a288-41d8-92ca-f07a82310173,lumaai-ashby-278788c5-a288-41d8-92ca-f07a82310173-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
lumaai-ashby-90734653-886d-4f6f-8af8-fb130d5400ab,lumaai-ashby-90734653-886d-4f6f-8af8-fb130d5400ab-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
lumaai-ashby-d2ecd718-6ba4-42a4-a067-e5f8c4c8bb1d,lumaai-ashby-d2ecd718-6ba4-42a4-a067-e5f8c4c8bb1d-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
lumaai-ashby-96f947a0-ddbf-44fa-9e44-fc08ff2bd4e9,lumaai-ashby-96f947a0-ddbf-44fa-9e44-fc08ff2bd4e9-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
lumaai-ashby-c4b9ff5f-40b2-40d4-9f6f-8b7aad9b8860,lumaai-ashby-c4b9ff5f-40b2-40d4-9f6f-8b7aad9b8860-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
lyft-greenhouse-8402813002,lyft-greenhouse-8402813002-1,[],,not stated,Not stated,[],The source contains a 2-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.
lyft-greenhouse-8772592002,lyft-greenhouse-8772592002-1,[],,not stated,Not stated,[],The source contains a 2-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.
lyft-greenhouse-8689127002,lyft-greenhouse-8689127002-1,[],,not stated,Not stated,[],The source contains a 2-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.
lyft-greenhouse-8688633002,lyft-greenhouse-8688633002-1,[],,not stated,Not stated,[],The source contains a 2-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.
mach9-ashby-51061973-9726-4e8e-bba4-4bfa9e3ef004,mach9-ashby-51061973-9726-4e8e-bba4-4bfa9e3ef004-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
mistral.ai-ashby-9fc579c8-784c-4b91-bcd0-392f35d13100,mistral.ai-ashby-9fc579c8-784c-4b91-bcd0-392f35d13100-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
mistral-ashby-2ec2dacd-1117-479b-a4c1-efa9df530798,mistral-ashby-2ec2dacd-1117-479b-a4c1-efa9df530798-1,"[""Master"",""PhD""]",2,industry,Not stated,[],JD requires a Master's/PhD in AI/data science and 2+ years as an AI technical contributor.
mistral.ai-ashby-5d15e1fe-789d-451d-8521-568906620c21,mistral.ai-ashby-5d15e1fe-789d-451d-8521-568906620c21-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
mistral-ashby-cce4be06-ac42-4c69-9bcd-7f5dca6f5e3c,mistral-ashby-cce4be06-ac42-4c69-9bcd-7f5dca6f5e3c-1,"[""Bachelor"",""Master""]",2,industry,Not stated,[],JD requires a CS/software degree and 2+ years as a technical individual contributor.
modal-ashby-9fadb51f-ce11-41b1-84d5-470e66cc8ee9,modal-ashby-9fadb51f-ce11-41b1-84d5-470e66cc8ee9-1,[],,not stated,Not stated,[],The source contains a 2-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.
motional-greenhouse-7730596003,motional-greenhouse-7730596003-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
motional-greenhouse-7826405003,motional-greenhouse-7826405003-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
netic-ashby-f2d170eb-c4c3-4715-9d2e-84dd4fe857c8,netic-ashby-f2d170eb-c4c3-4715-9d2e-84dd4fe857c8-1,[],,not stated,Not stated; source gives a start window,[],Live posting explicitly targets new graduates available to start winter 2026 through summer 2027; it does not establish a degree requirement or numeric experience minimum in the captured requirements.
netic-ashby-bab5d1e5-e31b-42f0-9cef-334b1f17fed3,netic-ashby-bab5d1e5-e31b-42f0-9cef-334b1f17fed3-1,[],,not stated,Not stated; source gives a start window,[],"Live posting targets new graduate engineers starting winter 2026 through summer 2027; degree is not established in the captured text. AI experience is described as nice-to-have, so it remains mentioned/preferred."
netic-ashby-d9bcb6a2-0e54-4cb3-baec-43f2d74db18f,netic-ashby-d9bcb6a2-0e54-4cb3-baec-43f2d74db18f-1,[],0,not stated,Not stated; source gives a start window,[],Live posting targets new graduates starting winter 2026 through summer 2027 and says production experience is not required for agent tooling; projects/coursework count.
newsbreak-greenhouse-4683873006,newsbreak-greenhouse-4683873006-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
newsbreak-greenhouse-4691989006,newsbreak-greenhouse-4691989006-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
newsbreak-greenhouse-4690262006,newsbreak-greenhouse-4690262006-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
newsbreak-greenhouse-4700278006,newsbreak-greenhouse-4700278006-1,"[""Bachelor"",""Master""]",0,not stated,Recently completed or within the next 6 months (year not stated),[],"Degree path is Bachelor's/Master's in CS, AI, Data Science or related; no professional experience required; projects/research are considered."
newsbreak-greenhouse-4688409006,newsbreak-greenhouse-4688409006-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
newsbreak-greenhouse-4699218006,newsbreak-greenhouse-4699218006-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
newsbreak-greenhouse-4694899006,newsbreak-greenhouse-4694899006-1,"[""Bachelor"",""Master""]",0,not stated,Not stated,[],"Bachelor's or Master's in CS, Software Engineering or related; recent graduate or up to ~2 years experience path."
newsbreak-greenhouse-4615879006,newsbreak-greenhouse-4615879006-1,"[""Bachelor""]",2,industry,Not stated,[],Bachelor's degree plus 2+ years of relevant work experience.
newsbreak-greenhouse-4615879006,newsbreak-greenhouse-4615879006-2,"[""Master"",""PhD""]",0,not stated,Not stated,[],The JD gives a Master's/PhD alternative without a stated experience minimum; projects and research are recorded separately.
nuro-greenhouse-7793005,nuro-greenhouse-7793005-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
nuro-greenhouse-5434059,nuro-greenhouse-5434059-1,[],,not stated,Not stated,[],No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.
nuro-greenhouse-5416913,nuro-greenhouse-5416913-1,[],,not stated,Not stated,[],The source contains a 2-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.
nuro-greenhouse-7439020,nuro-greenhouse-7439020-1,[],,not stated,Not stated,[],The source contains a 2-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.
nuro-greenhouse-7351066,nuro-greenhouse-7351066-1,"[""Bachelor"",""Master""]",0,not stated,Before July 2026,[2026],"Bachelor's or Master's in CS, EE, Robotics or related; graduation before July 2026 required."
nuro-greenhouse-8122537,nuro-greenhouse-8122537-1,[],,not stated,Not stated,[],The source contains a 1-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.
nuro-greenhouse-8122483,nuro-greenhouse-8122483-1,[],,not stated,Not stated,[],The source contains a 1-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.
nuro-greenhouse-6916236,nuro-greenhouse-6916236-1,[],,not stated,Not stated,[],The source contains a 2-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.
NVIDIA-JR2011517,NVIDIA-JR2011517-1,"[""Master"",""PhD""]",,research,2026 new college grad title; MS/PhD path,[2026],Official title says New College Grad 2026; minimum qualification is Master's or PhD or equivalent.
NVIDIA-JR2016939,NVIDIA-JR2016939-1,"[""Master"",""PhD""]",,research,2026 new college grad title; MS/PhD pursuing or recently completed,[2026],Official title says New College Grad 2026; qualifications accept pursuing or recently completed MS or PhD.
NVIDIA-JR2011267,NVIDIA-JR2011267-1,"[""PhD""]",,research,2026 new college grad title; AI graphics research path,[2026],Official title says New College Grad 2026 and description seeks deep-learning researchers for AI graphics and gaming.
NVIDIA-JR2019729,NVIDIA-JR2019729-1,"[""PhD""]",,research,2026 new college grad title; PhD research path,[2026],Official title says New College Grad 2026 and posting describes an outstanding researcher joining deep-learning efficiency research.
NVIDIA-JR2012979,NVIDIA-JR2012979-1,"[""PhD""]",,research,2026 new college grad title; PhD research path,[2026],"Official title says New College Grad 2026; body calls for a new college grad PhD researcher at AI, GPU computing, and EDA intersection."
NVIDIA-JR2012698,NVIDIA-JR2012698-1,"[""PhD""]",,research,2026 new college grad title; generative-AI research path,[2026],Official title says New College Grad 2026 and body seeks a generative-AI researcher.
